,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,country,bumplimit,imagelimit,country_name,omitted_posts,omitted_images,last_replies,trip
0,153692319,1.0,1.0,10/19/21(Tue)17:11:17,Anonymous,Welcome to /int/,"Want to learn something new?<br>
<br>
The <a href=""http://4chanint.wikia.com"">/int/ Wiki</a> is a language learning guide created by /int/ users like you.<br>
<br>
Cultural resources:<br><a href=""https://guide.culturecrossing.net/"">Cross-cultural etiquette guide</a><br>
<a href=""https://www.cia.gov/the-world-factbook/references/flags-of-the-world/"">Flags of the world</a>",int,.png,580,359,249,154,1634677877503,1634677877,8f6vnAU3NLXG0QkhLa28Vw==,75021,0,mod,welcome-to-int,0,0,1663572395,,,,,,,,
1,174878023,,,12/10/22(Sat)20:59:15,Anonymous,/sauna/,hikkyluuseripainos,4fa62f44a9a668ecfc8b6c146ce777158d654f8b7e9b5d5bcf7625e2d0ecf02a,.png,1484,932,250,157,1670723955993950,1670723955,tAjpbGJbqV83RAXodN2a4A==,175532,0,,sauna,109,50,1670760840,FI,0.0,0.0,Finland,104.0,49.0,"[{'no': 174890218, 'now': '12/11/22(Sun)07:10:50', 'name': 'Anonymous', 'com': 'Hej jag heter homo Peter', 'time': 1670760650, 'resto': 174878023, 'country': 'SE', 'country_name': 'Sweden'}, {'no': 174890236, 'now': '12/11/22(Sun)07:11:24', 'name': 'Anonymous', 'com': '<a href=""#p174889819"" class=""quotelink"">&gt;&gt;174889819</a><br>Kuulostaapa tyhmältä kun pieniäkin on olemassa.', 'time': 1670760684, 'resto': 174878023, 'country': 'FI', 'country_name': 'Finland'}, {'no': 174890275, 'now': '12/11/22(Sun)07:12:29', 'name': 'Anonymous', 'com': '<a href=""#p174890194"" class=""quotelink"">&gt;&gt;174890194</a><br>tuun viekkuun ihana', 'time': 1670760749, 'resto': 174878023, 'country': 'FI', 'country_name': 'Finland'}, {'no': 174890332, 'now': '12/11/22(Sun)07:13:45', 'name': 'Anonymous', 'com': 'Mitä mangaa lukisin?', 'time': 1670760825, 'resto': 174878023, 'country': 'FI', 'country_name': 'Finland'}, {'no': 174890339, 'now': '12/11/22(Sun)07:14:00', 'name': 'Anonymous', 'com': '<a href=""#p174889900"" class=""quotelink"">&gt;&gt;174889900</a><br>piirretty iso kiinalainen tyttö', 'filename': '101106641_p0', 'ext': '.jpg', 'w': 2055, 'h': 2906, 'tn_w': 88, 'tn_h': 125, 'tim': 1670760840543449, 'time': 1670760840, 'md5': 'K+5c6nlJY6O3qJIgYZVLdQ==', 'fsize': 1121550, 'resto': 174878023, 'country': 'FI', 'country_name': 'Finland'}]",
2,174874430,,,12/10/22(Sat)19:08:08,Anonymous,/polska/,edycja nocna,A9BD3B1B-5BEC-4E15-B590-D168DF64BC9F,.jpg,3543,2559,250,180,1670717288100962,1670717288,DJ4oF/6iPcLZrfjPnXzz9g==,3155033,0,,polska,275,71,1670760838,PL,0.0,0.0,Poland,270.0,70.0,"[{'no': 174890231, 'now': '12/11/22(Sun)07:11:19', 'name': 'Anonymous', 'com': '<a href=""#p174890164"" class=""quotelink"">&gt;&gt;174890164</a><br><span class=""quote"">&gt;on myśli że rin.ru to strona o csie</span><br>mati fejsbuczek', 'time': 1670760679, 'resto': 174874430, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174890280, 'now': '12/11/22(Sun)07:12:39', 'name': 'Anonymous', 'com': '<a href=""#p174890184"" class=""quotelink"">&gt;&gt;174890184</a><br>Based. I didn&#039;t have any frends too but in early 2000&#039;s we have an &quot;internet cafe&quot; culture, i just went there, joined the games and played it.', 'time': 1670760759, 'resto': 174874430, 'country': 'TR', 'country_name': 'Turkey'}, {'no': 174890300, 'now': '12/11/22(Sun)07:13:04', 'name': 'Anonymous', 'filename': '__cirno_rumia_mystia_lorelei_and_wriggle_nightbug_touhou_and_2_more_drawn_by_spark621__1eb0972e79eda93dea191b4c834fd22a', 'ext': '.jpg', 'w': 1000, 'h': 1300, 'tn_w': 96, 'tn_h': 125, 'tim': 1670760784209819, 'time': 1670760784, 'md5': 'EDzTCEHVWk3ZG5sNC02WJw==', 'fsize': 679060, 'resto': 174874430, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174890324, 'now': '12/11/22(Sun)07:13:35', 'name': 'Anonymous', 'com': '<a href=""#p174890300"" class=""quotelink"">&gt;&gt;174890300</a><br>ja z nikumanem w buzi', 'time': 1670760815, 'resto': 174874430, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174890338, 'now': '12/11/22(Sun)07:13:58', 'name': 'Anonymous', 'com': '<a href=""#p174890184"" class=""quotelink"">&gt;&gt;174890184</a><br><span class=""quote"">&gt;mostly play singleplayer strategies.</span><br>prawdziwy anon', 'time': 1670760838, 'resto': 174874430, 'country': 'PL', 'country_name': 'Poland'}]",
3,174889388,,,12/11/22(Sun)06:48:06,Anonymous,How would you respond?,,1670749916208706,.jpg,1230,1074,250,218,1670759286699938,1670759286,IqPkTBrOoQZz7CScPB2a1A==,221080,0,,how-would-you-respond,14,3,1670760836,TH,0.0,0.0,Thailand,9.0,2.0,"[{'no': 174890113, 'now': '12/11/22(Sun)07:08:16', 'name': 'Anonymous', 'com': '<a href=""#p174889718"" class=""quotelink"">&gt;&gt;174889718</a><br>CoD was so much cooler when it was more than just &quot;Brave Anglos saving the world again&quot;. United Offensive had dutch resistance and 3 had polish tank army of General Maczek in Netherlands, not to mention soviet campaign and so on. Medal of Honor Breakthrough had Italian front. <br>As a kid I thought we would get to explore new fronts and eventualy see Fall Gelb, Polish expedition corps in Norway, Winter War, Sinno-Japanese war, invasion of Greece and so on and so forth.<br>Instead as time goes on we&#039;re converging more and more around Operation Overlord. Seing less and less around it, and all we get instead is more black soldiers.', 'time': 1670760496, 'resto': 174889388, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174890181, 'now': '12/11/22(Sun)07:09:52', 'name': 'Anonymous', 'com': '<a href=""#p174889388"" class=""quotelink"">&gt;&gt;174889388</a><br><span class=""quote"">&gt;hans, get ze flammenwerfer</span>', 'filename': 'flamethrower', 'ext': '.gif', 'w': 220, 'h': 165, 'tn_w': 125, 'tn_h': 93, 'tim': 1670760592198109, 'time': 1670760592, 'md5': 'tE3cpDyOgPkU48TFKAm5mw==', 'fsize': 61797, 'resto': 174889388, 'country': 'DE', 'country_name': 'Germany'}, {'no': 174890247, 'now': '12/11/22(Sun)07:11:47', 'name': 'Anonymous', 'com': '<a href=""#p174890113"" class=""quotelink"">&gt;&gt;174890113</a><br><span class=""quote"">&gt;United Offensive</span><br>I loved that game so much, found it better than OG COD back in a day. Especially that epic last mission, Kursk advance I guess. Killing German flamethrowers and doing massive offensive. Really epic. Never played COD3 so don&#039;t know about Polish campaign but may play it when I expend my old console collection (I have gamecube, wii and ps2 atm). There is PS2 version for COD3 but it&#039;s obviously obsolete.', 'time': 1670760707, 'resto': 174889388, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174890312, 'now': '12/11/22(Sun)07:13:18', 'name': 'Anonymous', 'com': '<a href=""#p174890247"" class=""quotelink"">&gt;&gt;174890247</a><br>I just emulated it. It&#039;s funny cause the only ever mention of Poles in CoD is in a console game, while no one at the time owned a console back in the day.', 'time': 1670760798, 'resto': 174889388, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174890335, 'now': '12/11/22(Sun)07:13:56', 'name': 'Anonymous', 'com': '<a href=""#p174890247"" class=""quotelink"">&gt;&gt;174890247</a><br>Also Bastogne missions reminded me of Band Of Brothers HBO TV-series which I loved when I was a child', 'time': 1670760836, 'resto': 174889388, 'country': 'RU', 'country_name': 'Russian Federation'}]",
4,174890126,,,12/11/22(Sun)07:08:36,Anonymous,/ita/ - il filo,Edizione quadretto,1670751926203357,.jpg,834,1024,203,250,1670760516715086,1670760516,6irFY9God33LRZRU4Vbl1w==,64178,0,,ita-il-filo,8,5,1670760833,IT,0.0,0.0,Italy,3.0,2.0,"[{'no': 174890250, 'now': '12/11/22(Sun)07:11:50', 'name': 'Anonymous', 'com': 'COMUQNUE<br>GLI<br>ITALEEEEEEEEEEEEEEEEEEEEANI<br>COME SONO??&quot;&quot;&quot;&quot;?????????????????', 'filename': '1655453641002', 'ext': '.gif', 'w': 449, 'h': 674, 'tn_w': 83, 'tn_h': 125, 'tim': 1670760710522415, 'time': 1670760710, 'md5': 'jt5gjaSj6cbq9Y8e3qCc7g==', 'fsize': 1760733, 'resto': 174890126, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174890295, 'now': '12/11/22(Sun)07:13:01', 'name': 'Anonymous', 'filename': 'ilfilo', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670760781519158, 'time': 1670760781, 'md5': 'JvDgEPM0j/CwzqQbRx2/aQ==', 'fsize': 2288679, 'resto': 174890126, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174890310, 'now': '12/11/22(Sun)07:13:14', 'name': 'Anonymous', 'com': 'la vostra anima gemella sta cercando la versione di voi che ha fatto volontariato con emergency legge zerocalcare e vota la collot<br>invece siete chiusi in cameretta incarogniti e siete diventati chuddi a forza di non scopare', 'time': 1670760794, 'resto': 174890126, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174890315, 'now': '12/11/22(Sun)07:13:21', 'name': 'Anonymous', 'com': '<a href=""#p174890250"" class=""quotelink"">&gt;&gt;174890250</a><br>ammazza quanto è brutto', 'time': 1670760801, 'resto': 174890126, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174890334, 'now': '12/11/22(Sun)07:13:53', 'name': 'Anonymous', 'com': '<a href=""#p174890126"" class=""quotelink"">&gt;&gt;174890126</a>', 'filename': '1667023865042915', 'ext': '.jpg', 'w': 512, 'h': 512, 'tn_w': 125, 'tn_h': 125, 'tim': 1670760833241003, 'time': 1670760833, 'md5': 'KollW/+Rk8YB3IOGzL4mdQ==', 'fsize': 176544, 'resto': 174890126, 'country': 'IT', 'country_name': 'Italy'}]",
5,174869952,,,12/10/22(Sat)17:15:53,Anonymous,Japanese Thread / 日本語スレッド,"Previous:<a href=""/int/thread/174825537#p174825537"" class=""quotelink"">&gt;&gt;174825537</a><br><br>Japanese Learning Thread:<a href=""//boards.4channel.org/int/catalog#s=djt"" class=""quotelink"">&gt;&gt;&gt;/int/djt</a><br>Archives:https://desuarchive.org/in<wbr>t/search/subject/日本語スレッド/",日本海寒帯気団収束帯,.png,720,445,250,154,1670710553833883,1670710553,x1QuX7tlfkw35LmDb5ggIQ==,669305,0,,japanese-thread,160,48,1670760829,JP,0.0,0.0,Japan,155.0,48.0,"[{'no': 174890084, 'now': '12/11/22(Sun)07:07:22', 'name': 'Anonymous', 'com': '<a href=""#p174889885"" class=""quotelink"">&gt;&gt;174889885</a><br>(^_^;)', 'time': 1670760442, 'resto': 174869952, 'country': 'JP', 'country_name': 'Japan'}, {'no': 174890108, 'now': '12/11/22(Sun)07:08:04', 'name': 'Anonymous', 'com': 'when I speak with japanese people they often say something like &quot;日本語をshirabemasu?&quot;<br><br>what word are they using? I was taught to say 話します but I assume this is the overly polite version of &quot;shiraberu&quot; <br>is 調べる the word?', 'time': 1670760484, 'resto': 174869952, 'country': 'JP', 'country_name': 'Japan'}, {'no': 174890203, 'now': '12/11/22(Sun)07:10:30', 'name': 'Anonymous', 'com': '<a href=""#p174890009"" class=""quotelink"">&gt;&gt;174890009</a><br><span class=""quote"">&gt;他人を基地外扱い</span><br>一般的に悪口って日常的に自分が言われてる事を口走ってしまうのよね<br>精神科で受診してもらった方が良いですよ', 'time': 1670760630, 'resto': 174869952, 'country': 'JP', 'country_name': 'Japan'}, {'no': 174890273, 'now': '12/11/22(Sun)07:12:26', 'name': 'Anonymous', 'com': '<a href=""#p174890108"" class=""quotelink"">&gt;&gt;174890108</a><br><span class=""quote"">&gt;日本語をshirabemasu</span><br>It doesnt sound natural in that case. So I dont know what you mean.', 'time': 1670760746, 'resto': 174869952, 'country': 'JP', 'country_name': 'Japan'}, {'no': 174890333, 'now': '12/11/22(Sun)07:13:49', 'name': 'Anonymous', 'com': '<a href=""#p174890273"" class=""quotelink"">&gt;&gt;174890273</a><br>or sharabemasu? something like that is what they say<br>heard it at least 15 times', 'time': 1670760829, 'resto': 174869952, 'country': 'JP', 'country_name': 'Japan'}]",
6,174889596,,,12/11/22(Sun)06:54:05,Anonymous,,I am afraid of Slavic people.,Pepe neutral,.jpg,241,209,241,209,1670759645556539,1670759645,IGlfJoSeW5ppnG81877mgg==,7822,0,,i-am-afraid-of-slavic-people,13,0,1670760821,ES,0.0,0.0,Spain,8.0,0.0,"[{'no': 174889877, 'now': '12/11/22(Sun)07:01:25', 'name': 'Anonymous', 'com': '<a href=""#p174889596"" class=""quotelink"">&gt;&gt;174889596</a><br>AY YO', 'time': 1670760085, 'resto': 174889596, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174889878, 'now': '12/11/22(Sun)07:01:25', 'name': 'Anonymous', 'com': '<a href=""#p174889596"" class=""quotelink"">&gt;&gt;174889596</a><br>Ayo med boi<br>Spread dem cheeks, or else...', 'time': 1670760085, 'resto': 174889596, 'country': 'PL', 'country_name': 'Poland'}, {'no': 174889914, 'now': '12/11/22(Sun)07:02:22', 'name': 'Anonymous', 'com': '<a href=""#p174889837"" class=""quotelink"">&gt;&gt;174889837</a><br>This is cringe, check that:<br>https://www.youtube.com/watch?v=5Gx<wbr>lP7z71lc', 'time': 1670760142, 'resto': 174889596, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174890216, 'now': '12/11/22(Sun)07:10:49', 'name': 'Anonymous', 'com': '<a href=""#p174889596"" class=""quotelink"">&gt;&gt;174889596</a><br>You, a black person, scared of a white man?', 'time': 1670760649, 'resto': 174889596, 'country': 'SI', 'country_name': 'Slovenia'}, {'no': 174890330, 'now': '12/11/22(Sun)07:13:41', 'name': 'Anonymous', 'com': '<a href=""#p174889596"" class=""quotelink"">&gt;&gt;174889596</a><br>me too', 'time': 1670760821, 'resto': 174889596, 'country': 'BG', 'country_name': 'Bulgaria'}]",
7,174887808,,,12/11/22(Sun)05:59:29,CКУД &quot;Apкaн&quot; Пpњaвop,/ex-yu/,eksju mitap &#039;43 u nishu edicija,SDS-SS-Nis-1943,.jpg,610,418,250,171,1670756369576743,1670756369,+Kd5fUQWc6Mz4Rix0gYOUQ==,60758,0,,exyu,89,6,1670760820,BA,0.0,0.0,Bosnia and Herzegovina,84.0,6.0,"[{'no': 174890254, 'now': '12/11/22(Sun)07:12:00', 'name': 'Anonymous', 'com': '<a href=""#p174890149"" class=""quotelink"">&gt;&gt;174890149</a><br>vidi<a href=""#p174890133"" class=""quotelink"">&gt;&gt;174890133</a>', 'time': 1670760720, 'resto': 174887808, 'country': 'RS', 'country_name': 'Serbia'}, {'no': 174890277, 'now': '12/11/22(Sun)07:12:35', 'name': 'Anonymous', 'com': '<a href=""#p174889668"" class=""quotelink"">&gt;&gt;174889668</a><br><span class=""quote"">&gt;obrijana</span><br>Fuj. Odstrani to iz egzjua', 'time': 1670760755, 'resto': 174887808, 'country': 'RS', 'country_name': 'Serbia'}, {'no': 174890285, 'now': '12/11/22(Sun)07:12:48', 'name': 'Anonymous', 'com': '<a href=""#p174890172"" class=""quotelink"">&gt;&gt;174890172</a><br><a href=""#p174890254"" class=""quotelink"">&gt;&gt;174890254</a><br>vidi debilcino<a href=""#p174890149"" class=""quotelink"">&gt;&gt;174890149</a>', 'time': 1670760768, 'resto': 174887808, 'country': 'RS', 'country_name': 'Serbia'}, {'no': 174890326, 'now': '12/11/22(Sun)07:13:39', 'name': 'Anonymous', 'com': 'Gleda se ruski film o velikom otadzbinskom ratu i herojskoj pobedi 9og maja.', 'time': 1670760819, 'resto': 174887808, 'country': 'RS', 'country_name': 'Serbia'}, {'no': 174890328, 'now': '12/11/22(Sun)07:13:40', 'name': 'CHП &quot;Bитoмиp Пaјић&quot; Пpијeпoљe', 'com': '<a href=""#p174890277"" class=""quotelink"">&gt;&gt;174890277</a><br>odstranicemo tebe ali prvo cemo ti jebati majku svi<br>jedan po jedan', 'time': 1670760820, 'resto': 174887808, 'country': 'RS', 'country_name': 'Serbia'}]",
8,174889072,,,12/11/22(Sun)06:38:52,Anonymous,,Why are americans like this?,Screenshot from 2022-12-07 11-30-47,.png,561,499,250,222,1670758732854483,1670758732,Ou6frVD6fbpr6532/JcPLQ==,223609,0,,why-are-americans-like-this,13,1,1670760820,PL,0.0,0.0,Poland,8.0,0.0,"[{'no': 174890107, 'now': '12/11/22(Sun)07:08:04', 'name': 'Anonymous', 'com': '<a href=""#p174889109"" class=""quotelink"">&gt;&gt;174889109</a><br><a href=""#p174889961"" class=""quotelink"">&gt;&gt;174889961</a><br>Absolutely brutal lmaoooooo', 'time': 1670760484, 'resto': 174889072, 'country': 'DE', 'country_name': 'Germany'}, {'no': 174890121, 'now': '12/11/22(Sun)07:08:23', 'name': 'Anonymous', 'com': '<a href=""#p174890013"" class=""quotelink"">&gt;&gt;174890013</a><br>I see the sanctions didn&#039;t affect the vatnig copeium supply', 'time': 1670760503, 'resto': 174889072, 'country': 'US', 'country_name': 'United States'}, {'no': 174890276, 'now': '12/11/22(Sun)07:12:29', 'name': 'Anonymous', 'com': 'Posted before: doesn&#039;t really matter what units you use to measure potatoes/gasoline.<br>I wonder if murricans do calculations on distances and have to deal with inches, feet and miles at the same time they&#039;d just switch to metric?', 'time': 1670760749, 'resto': 174889072, 'country': 'FI', 'country_name': 'Finland'}, {'no': 174890297, 'now': '12/11/22(Sun)07:13:02', 'name': 'Anonymous', 'com': '<a href=""#p174889072"" class=""quotelink"">&gt;&gt;174889072</a><br>You cultureless shitholes can keep your globohomo shit.', 'time': 1670760782, 'resto': 174889072, 'country': 'US', 'country_name': 'United States'}, {'no': 174890329, 'now': '12/11/22(Sun)07:13:40', 'name': 'Anonymous', 'com': 'WE DID IT, EUROPE<br><br>WE WON', 'filename': 'us metric system', 'ext': '.png', 'w': 484, 'h': 888, 'tn_w': 68, 'tn_h': 125, 'tim': 1670760820755702, 'time': 1670760820, 'md5': '0EczinPSGCxlb6WBn4QdAg==', 'fsize': 362418, 'resto': 174889072, 'country': 'DE', 'country_name': 'Germany'}]",
9,174882840,,,12/11/22(Sun)01:07:44,Anonymous,,kurva anyátok,alma,.gif,368,349,250,237,1670738864767573,1670738864,mDn9PC6lY5Wbp6p3rkeU/Q==,50001,0,,kurva-anytok,198,27,1670760819,HU,0.0,0.0,Hungary,193.0,27.0,"[{'no': 174890242, 'now': '12/11/22(Sun)07:11:40', 'name': 'Anonymous', 'com': '<a href=""#p174890202"" class=""quotelink"">&gt;&gt;174890202</a><br><span class=""quote"">&gt;itt mindenki pedó aki...</span><br>remekül kezdted a postát elmebeteg', 'time': 1670760700, 'resto': 174882840, 'country': 'HU', 'country_name': 'Hungary'}, {'no': 174890256, 'now': '12/11/22(Sun)07:12:01', 'name': 'Anonymous', 'com': '<a href=""#p174890226"" class=""quotelink"">&gt;&gt;174890226</a><br>a foci az egyik legprolibb dolog a világon', 'time': 1670760721, 'resto': 174882840, 'country': 'HU', 'country_name': 'Hungary'}, {'no': 174890298, 'now': '12/11/22(Sun)07:13:02', 'name': 'Anonymous', 'com': '<a href=""#p174890242"" class=""quotelink"">&gt;&gt;174890242</a><br><span class=""quote"">&gt;nem tud olvasni</span><br>ciki', 'time': 1670760782, 'resto': 174882840, 'country': 'HU', 'country_name': 'Hungary'}, {'no': 174890305, 'now': '12/11/22(Sun)07:13:08', 'name': 'Anonymous', 'com': 'feketéknek olyan nagy a golyójuk :sss', 'time': 1670760788, 'resto': 174882840, 'country': 'HU', 'country_name': 'Hungary'}, {'no': 174890327, 'now': '12/11/22(Sun)07:13:39', 'name': 'Anonymous', 'com': '<a href=""#p174890298"" class=""quotelink"">&gt;&gt;174890298</a><br>én tudok olvasni, csak senki sem dől be a félrebeszélésednek', 'time': 1670760819, 'resto': 174882840, 'country': 'HU', 'country_name': 'Hungary'}]",
