,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
34,8224724,12/11/22(Sun)23:19:48,Anonymous,How over would Chyna be if she debuted today?,chyna-2-9d13f0309a274e918b597adc9efee455,.jpg,1266,2000,158,250,1670818788457821,1670818788,BMGuhHS6dNl3T04kOzlakg==,144286,0,0,0,how-over-would-chyna-be-if-she-debuted-today,7,0,2.0,0.0,"[{'no': 8224746, 'now': '12/11/22(Sun)23:22:26', 'name': 'Anonymous', 'com': 'Jade Cargill is a better wrestler already, a better promo, and has a better physique than Chyna ever did <br><br>She wouldn’t get that over', 'time': 1670818946, 'resto': 8224724}, {'no': 8224752, 'now': '12/11/22(Sun)23:23:00', 'name': 'Anonymous', 'com': '<a href=""#p8224724"" class=""quotelink"">&gt;&gt;8224724</a><br>She would be President of the United States of America.', 'time': 1670818980, 'resto': 8224724}, {'no': 8224764, 'now': '12/11/22(Sun)23:24:36', 'name': 'Anonymous', 'com': '<a href=""#p8224724"" class=""quotelink"">&gt;&gt;8224724</a><br>Her titties would likely look a lot better in the modern day due to advances in plastic surgery.', 'time': 1670819076, 'resto': 8224724}, {'no': 8226158, 'now': '12/12/22(Mon)06:06:58', 'name': 'Anonymous', 'com': '<a href=""#p8224724"" class=""quotelink"">&gt;&gt;8224724</a><br>not as over as she wouldn&#039;t be the first', 'time': 1670843218, 'resto': 8224724}, {'no': 8226268, 'now': '12/12/22(Mon)06:50:23', 'name': 'Anonymous', 'com': '<a href=""#p8224746"" class=""quotelink"">&gt;&gt;8224746</a><br>but she&#039;s black :(', 'time': 1670845823, 'resto': 8224724}]",1670845823,,
35,8222516,12/11/22(Sun)18:30:00,Anonymous,"RUSEV UDRIA, RUSEV MACHKA<br><br>https://www.youtube.com/watch?v=ebL<wbr>U-SSnMKs","Rusev and Lana critique Washington, D.C.",.jpg,1280,720,250,140,1670801400812796,1670801400,WjdsGtOTKD6DnLaUnxNkMA==,157389,0,0,0,30-rusev,13,0,8.0,0.0,"[{'no': 8225706, 'now': '12/12/22(Mon)03:16:59', 'name': 'Anonymous', 'com': '<a href=""#p8223265"" class=""quotelink"">&gt;&gt;8223265</a><br>I Keep Trying To Put Byron Saxton Over But /pw/ Won&#039;t Listen', 'time': 1670833019, 'resto': 8222516}, {'no': 8226204, 'now': '12/12/22(Mon)06:23:35', 'name': 'Anonymous', 'com': '<a href=""#p8222516"" class=""quotelink"">&gt;&gt;8222516</a><br>I liked him before I found out he was a literal cuck who lets Lana get banged by random dudes at Coachella.', 'time': 1670844215, 'resto': 8222516}, {'no': 8226216, 'now': '12/12/22(Mon)06:28:34', 'name': 'Anonymous', 'com': 'With the sheer amount of talent AEW has under contract right now they should be slaughtering RAW and coming up with must see TV week after week, but it&#039;s just not happening', 'time': 1670844514, 'resto': 8222516}, {'no': 8226254, 'now': '12/12/22(Mon)06:46:13', 'name': 'Anonymous', 'com': '<a href=""#p8226216"" class=""quotelink"">&gt;&gt;8226216</a><br>RAW has a built-in audience of like a million boomers.', 'time': 1670845573, 'resto': 8222516}, {'no': 8226265, 'now': '12/12/22(Mon)06:49:53', 'name': 'Anonymous', 'com': '<a href=""#p8222516"" class=""quotelink"">&gt;&gt;8222516</a><br>that entrance vid aged well. lol', 'time': 1670845793, 'resto': 8222516}]",1670845793,#30 - RUSEV,
36,8221998,12/11/22(Sun)17:28:27,Anonymous,.,(162),.jpg,616,973,158,250,1670797707755656,1670797707,0q59bIg+Ab3QwXOCQ9EbKQ==,169981,0,0,0,,24,2,19.0,2.0,"[{'no': 8224429, 'now': '12/11/22(Sun)22:40:31', 'name': 'Anonymous', 'com': '<a href=""#p8221998"" class=""quotelink"">&gt;&gt;8221998</a><br>CUTE!', 'time': 1670816431, 'resto': 8221998}, {'no': 8224453, 'now': '12/11/22(Sun)22:44:03', 'name': 'Anonymous', 'com': '<a href=""#p8222968"" class=""quotelink"">&gt;&gt;8222968</a><br>She walled insanely fast and early, that pic of her on the right looks like it was taken a decade apart from current Nikkita', 'time': 1670816643, 'resto': 8221998}, {'no': 8225853, 'now': '12/12/22(Mon)04:13:24', 'name': 'Anonymous', 'com': '<a href=""#p8221998"" class=""quotelink"">&gt;&gt;8221998</a><br>the power of nigger sperm', 'time': 1670836404, 'resto': 8221998}, {'no': 8226257, 'now': '12/12/22(Mon)06:47:02', 'name': 'Anonymous', 'com': '<a href=""#p8221998"" class=""quotelink"">&gt;&gt;8221998</a><br>No thanks, I&#039;m not into drag queens from RuPaul.', 'time': 1670845622, 'resto': 8221998}, {'no': 8226263, 'now': '12/12/22(Mon)06:48:50', 'name': 'Anonymous', 'com': '<a href=""#p8221998"" class=""quotelink"">&gt;&gt;8221998</a><br>Ever since I saw that photo of him with a black guy, he&#039;s turned into a complete beast. What a fat fucking walled in his 20s cunt.', 'time': 1670845730, 'resto': 8221998}]",1670845730,,
37,8226246,12/12/22(Mon)06:43:02,Anonymous,I miss this retard.,FDBlJPqX0AI38V_,.jpg,320,240,250,187,1670845382473629,1670845382,a7oByaSuXwk5vg0bsBSLAA==,11943,0,0,0,i-miss-this-retard,0,0,,,,1670845382,,
38,8226237,12/12/22(Mon)06:38:53,Anonymous,"<span class=""quote"">&gt;SÕY</span><br><span class=""quote"">&gt;SÕY</span><br><span class=""quote"">&gt;SO</span><br><span class=""quote"">&gt;SO</span><br><span class=""quote"">&gt;SÕY</span>",1648567134147,.png,605,741,204,250,1670845133172779,1670845133,qXjeUsYeAefzZ7sUydlHRQ==,350378,0,0,0,sy,2,0,,,"[{'no': 8226240, 'now': '12/12/22(Mon)06:40:14', 'name': 'Anonymous', 'com': '<a href=""#p8226237"" class=""quotelink"">&gt;&gt;8226237</a><br>based jamal', 'time': 1670845214, 'resto': 8226237}, {'no': 8226241, 'now': '12/12/22(Mon)06:40:30', 'name': 'Anonymous', 'com': 'I wish I was a fly on the wall when the new japan strong westerners found out they were doing a partnership with a SÕY company', 'time': 1670845230, 'resto': 8226237}]",1670845230,,
39,8224473,12/11/22(Sun)22:46:53,Anonymous,"6 people have combined for 11 reigns since 1.4.2016. That, Tony Khan, Paul Levesque is how you book. That is how you keep a championship special. That is how you keep a main event scene special. With every match people believe Rika, Yuka, Miyu and Shoko can win. Because they have been made genuine stars to the promotions fans. With a protected midcard of Mizuki, Maki Itoh, Hikari Noa, Miu Watanabe, Kamiyu and others, Koda has set up perfectly for the future. With growing attendance and an increase in foreign viewers due to fly in challengers and global partnerships, it feels damn good to be a teej fan. Once more, Tony, Paul, take fucking note.",E0EA6495-0F84-46F8-92FB-FEC000BBDB96,.jpg,400,400,250,250,1670816813897795,1670816813,J+PrzjcaQfRyN5PCTEvQww==,9057,0,0,0,6-people-have-combined-for-11-reigns-since-142016,20,6,15.0,5.0,"[{'no': 8226169, 'now': '12/12/22(Mon)06:11:39', 'name': 'Anonymous', 'com': 'Trust the plan.', 'filename': '1620111903721', 'ext': '.jpg', 'w': 683, 'h': 592, 'tn_w': 125, 'tn_h': 108, 'tim': 1670843499919088, 'time': 1670843499, 'md5': 'iVdPLAeyFBPbUc/5JHICsw==', 'fsize': 143384, 'resto': 8224473}, {'no': 8226194, 'now': '12/12/22(Mon)06:20:39', 'name': 'Anonymous', 'com': '<a href=""#p8224498"" class=""quotelink"">&gt;&gt;8224498</a><br>Kek', 'time': 1670844039, 'resto': 8224473}, {'no': 8226211, 'now': '12/12/22(Mon)06:26:28', 'name': 'Anonymous', 'com': '<a href=""#p8224473"" class=""quotelink"">&gt;&gt;8224473</a><br><span class=""quote"">&gt;6 people</span><br>this is the amount of viewers too kek', 'time': 1670844388, 'resto': 8224473}, {'no': 8226215, 'now': '12/12/22(Mon)06:27:33', 'name': 'Anonymous', 'com': '<a href=""#p8224473"" class=""quotelink"">&gt;&gt;8224473</a><br><span class=""quote"">&gt;With growing attendance</span><br>nice headcanon', 'time': 1670844453, 'resto': 8224473}, {'no': 8226236, 'now': '12/12/22(Mon)06:38:35', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;rika will win</span><br>lol<br>lmao', 'time': 1670845115, 'resto': 8224473}]",1670845115,,
40,8223999,12/11/22(Sun)21:37:30,Anonymous,HANGER 18 I KNOW TOO MUCH,1667264442261285,.jpg,1080,1080,250,250,1670812650779840,1670812650,velDffFQ2rjtOSj9uWG3nw==,94936,0,0,0,hanger-18-i-know-too-much,78,15,73.0,15.0,"[{'no': 8226221, 'now': '12/12/22(Mon)06:30:27', 'name': 'Anonymous', 'com': '<a href=""#p8225105"" class=""quotelink"">&gt;&gt;8225105</a><br>repent, zoomer', 'time': 1670844627, 'resto': 8223999}, {'no': 8226224, 'now': '12/12/22(Mon)06:32:22', 'name': 'Anonymous', 'com': '<a href=""#p8224628"" class=""quotelink"">&gt;&gt;8224628</a><br>i always preferred metallica and slayer<br>but its all better than that cringe stuff nowadays where they sing about slaying dragons and throw in 5 minute self masturbatory guitar solos. metal guitarists are the ultimate self marks<br><br><a href=""#p8225594"" class=""quotelink"">&gt;&gt;8225594</a><br>he drew way more dimes than he should have<br><br><a href=""#p8225105"" class=""quotelink"">&gt;&gt;8225105</a><br>repent, zoomer', 'time': 1670844742, 'resto': 8223999}, {'no': 8226226, 'now': '12/12/22(Mon)06:33:38', 'name': 'Anonymous', 'com': '<a href=""#p8225561"" class=""quotelink"">&gt;&gt;8225561</a><br>sepulturabros..', 'time': 1670844818, 'resto': 8223999}, {'no': 8226229, 'now': '12/12/22(Mon)06:34:08', 'name': 'Anonymous', 'com': '<a href=""#p8224005"" class=""quotelink"">&gt;&gt;8224005</a><br>This morning I made a KWAB <br>Just wanted to end it all<br>Walking up, I wanted to cry<br>But dammit, this ass has gone dry<br>Not from the years, not from the use<br>I hurt my rear, from self-abuse<br>But now I&#039;m raped in the brown eye by a negro<br>Wolfie can&#039;t murk the threads, like 1000 days ago<br>No more living trapped inside<br>Summer night I&#039;ll surely die<br>In the brown eye o&#039; my negro, plow me away', 'time': 1670844848, 'resto': 8223999}, {'no': 8226234, 'now': '12/12/22(Mon)06:36:56', 'name': 'Anonymous', 'com': '<a href=""#p8224513"" class=""quotelink"">&gt;&gt;8224513</a><br>this deserved more replies.<br>megadeth is the buttrock of metal<br>i dont count avenged sevenfold as metal or it would be them though', 'time': 1670845016, 'resto': 8223999}]",1670845016,,
41,8218567,12/11/22(Sun)08:41:59,Anonymous,"&lt;you&#039;re walking to your favourite fried chicken shop<br>&lt;suddenly DIESEL<br>&lt;DIESEL is here, with a snarling look on his face and ready for a fight<br>&lt;he&#039;s between you and the fried chicken shop<br>what do????",diesel,.png,296,391,189,250,1670766119172646,1670766119,Do0ZQW3apNX5iyh4NOxPmQ==,144725,0,0,0,youre-walking-to-your-favourite-fried-chicken,34,4,29.0,3.0,"[{'no': 8225682, 'now': '12/12/22(Mon)03:08:42', 'name': 'Anonymous', 'com': '<a href=""#p8225592"" class=""quotelink"">&gt;&gt;8225592</a><br>OH NO', 'time': 1670832522, 'resto': 8218567}, {'no': 8225981, 'now': '12/12/22(Mon)05:07:49', 'name': 'Anonymous', 'com': '<a href=""#p8225592"" class=""quotelink"">&gt;&gt;8225592</a><br>KWAB', 'time': 1670839669, 'resto': 8218567}, {'no': 8226033, 'now': '12/12/22(Mon)05:32:39', 'name': 'Anonymous', 'com': '<a href=""#p8225592"" class=""quotelink"">&gt;&gt;8225592</a><br>NO<br>STOP IT', 'filename': '1645776688359', 'ext': '.png', 'w': 545, 'h': 450, 'tn_w': 125, 'tn_h': 103, 'tim': 1670841159413849, 'time': 1670841159, 'md5': 'oBnaOZK6olZSlhYtUYULwQ==', 'fsize': 277028, 'resto': 8218567}, {'no': 8226079, 'now': '12/12/22(Mon)05:45:24', 'name': 'Anonymous', 'com': '<a href=""#p8225592"" class=""quotelink"">&gt;&gt;8225592</a><br>kwab', 'time': 1670841924, 'resto': 8218567}, {'no': 8226233, 'now': '12/12/22(Mon)06:35:52', 'name': 'Anonymous', 'com': '<a href=""#p8225592"" class=""quotelink"">&gt;&gt;8225592</a><br>Lordy me', 'time': 1670844952, 'resto': 8218567}]",1670844952,,
42,8220879,12/11/22(Sun)14:59:49,Anonymous,LOOK INTO MY EYES HOAK HOGRAN,xcvxcvxcadfasdf,.png,900,698,250,193,1670788789701712,1670788789,0wDb/OxAU4DMRoZM0ub38w==,859700,0,0,0,look-into-my-eyes-hoak-hogran,21,6,16.0,3.0,"[{'no': 8225428, 'now': '12/12/22(Mon)01:30:57', 'name': 'Anonymous', 'com': 'Warrior: Feel the real power, Hogan!<br><br>Hogan: I...I thought you were dead!<br><br>Warrior: Who holds the absolute power now, Hollywood Hogan? You need to open your eyes and ears, take control of the limited ability you have to understand the words I am about to say...<br><br>...History tells us, Hogan, that a man&#039;s legacy is built from the premise that within his life, the moments lived, once lived, become a piece of his history. Somehow, you have conveniently, even eloquently, misplaced pieces of your history. In the one time, epical battle between us, Hogan, you were the quintessential influence of what was good, great, and heroic. But different than you may remember -- and albeit you may have beaten myths, legends, giants, and other great men -- you NEVER beat a warrior.<br><br>As the victor of that one time battle, I defeated what was, until then, undefeatable. I conquered what was then unconquerable. I dominated what was, until then, indomitable. On that day, you were great... I WAS ULTIMATE!<br><br>NOW...the virtue of justice unties my hands so that I can continue to fulfill a destiny set in motion on that memorable day years ago. A destiny at the next level. A destiny beckoning the next superhero. There really is no sadder sight than when a grown man fears the challenges in his life so much that he rationalizes adolescent behavior to the point where he carries out heinous and self-indulgent actions. Your evilness, an evilness you embody and portray, is intolerable. I am the one that has the power to destroy you. In sorts, Hogan, the truth is inexhaustible. I come here, not to beat you up tonight, Hogan. Beating you means nothing anymore -- everybody already has.<br><br>Because you felt guilty for being who you were, your mind became weak, and Hulkamania became boring. I come here, Hogan, to tell you -- NEXT WEEK -- I intend to launch a revolution not even you can control. I ask you to find the courage -- check it out. Next week. Same Warrior time. Same Warrior place. Same Warrior channel.', 'filename': 'miniGif_20221212063017', 'ext': '.gif', 'w': 486, 'h': 354, 'tn_w': 125, 'tn_h': 91, 'tim': 1670826657714056, 'time': 1670826657, 'md5': 'FJWvGpVfVN7IcfV9U5CF5g==', 'fsize': 4005396, 'resto': 8220879}, {'no': 8225475, 'now': '12/12/22(Mon)01:43:50', 'name': 'Anonymous', 'com': '<a href=""#p8225428"" class=""quotelink"">&gt;&gt;8225428</a><br>what a legend', 'time': 1670827430, 'resto': 8220879}, {'no': 8226138, 'now': '12/12/22(Mon)06:00:20', 'name': 'Anonymous', 'com': '<a href=""#p8223559"" class=""quotelink"">&gt;&gt;8223559</a><br>You make an excellent point', 'time': 1670842820, 'resto': 8220879}, {'no': 8226145, 'now': '12/12/22(Mon)06:02:42', 'name': 'Anonymous', 'com': '<a href=""#p8225428"" class=""quotelink"">&gt;&gt;8225428</a><br><span class=""quote"">&gt;I...I thought you were dead!</span>', 'filename': '3362164-11', 'ext': '.jpg', 'w': 480, 'h': 270, 'tn_w': 125, 'tn_h': 70, 'tim': 1670842962821494, 'time': 1670842962, 'md5': 'fXob5BZx4Jh8MQKH4AXqeA==', 'fsize': 14776, 'resto': 8220879}, {'no': 8226231, 'now': '12/12/22(Mon)06:35:15', 'name': 'Anonymous', 'com': '<a href=""#p8220879"" class=""quotelink"">&gt;&gt;8220879</a><br><span class=""quote"">&gt;LOAD THE SCIENCE SHIP WITH THE HECKIN ONIONS FUEL!</span>', 'filename': 'soy warrior', 'ext': '.jpg', 'w': 570, 'h': 570, 'tn_w': 125, 'tn_h': 125, 'tim': 1670844915808725, 'time': 1670844915, 'md5': 'ThSIf9TzfVt1IvnltV0EHw==', 'fsize': 221050, 'resto': 8220879}]",1670844915,,
43,8222519,12/11/22(Sun)18:30:24,Anonymous,reaction image thread,Really nigga,.jpg,1920,1080,250,140,1670801424430076,1670801424,fdDugZFVPWxypQFznFo1Qg==,305653,0,0,0,reaction-image-thread,66,61,61.0,57.0,"[{'no': 8225694, 'now': '12/12/22(Mon)03:11:34', 'name': 'Anonymous', 'filename': '1668196162656543', 'ext': '.jpg', 'w': 456, 'h': 352, 'tn_w': 125, 'tn_h': 96, 'tim': 1670832694091528, 'time': 1670832694, 'md5': 'tADP2Otm3qo4NA1GTTTfUQ==', 'fsize': 95531, 'resto': 8222519}, {'no': 8225710, 'now': '12/12/22(Mon)03:18:21', 'name': 'Anonymous', 'filename': 'F248AE0E-7FC0-432E-AD7D-EA1202BD9A20', 'ext': '.jpg', 'w': 1285, 'h': 1023, 'tn_w': 125, 'tn_h': 99, 'tim': 1670833101215189, 'time': 1670833101, 'md5': 'z8t3DQPO5EqakPjzOFBhHg==', 'fsize': 175832, 'resto': 8222519}, {'no': 8226014, 'now': '12/12/22(Mon)05:27:37', 'name': 'Anonymous', 'com': 'The image that enables you to invalidate any post', 'filename': '1597599411906', 'ext': '.jpg', 'w': 640, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670840857393344, 'time': 1670840857, 'md5': 'uQk7v7FiXPJ2AwIOiQO1Fg==', 'fsize': 143157, 'resto': 8222519}, {'no': 8226201, 'now': '12/12/22(Mon)06:22:04', 'name': 'Anonymous', 'filename': 'vlcsnap-2022-04-05-21h18m19s556', 'ext': '.png', 'w': 848, 'h': 480, 'tn_w': 125, 'tn_h': 70, 'tim': 1670844124377757, 'time': 1670844124, 'md5': 'a02wYhCMR8Lr/c+xfRRxdg==', 'fsize': 265673, 'resto': 8222519}, {'no': 8226218, 'now': '12/12/22(Mon)06:29:06', 'name': 'Anonymous', 'com': '<a href=""#p8225710"" class=""quotelink"">&gt;&gt;8225710</a><br>WOOOF!', 'time': 1670844546, 'resto': 8222519}]",1670844546,,
44,8224375,12/11/22(Sun)22:32:18,LariatNigga,"<span class=""quote"">&gt;Take ROH and tag titles away from proven draws after spending months using them to build brand, only to announce later that you have zero (0) TV deals</span><br><br>KEK WHAT AN IN OVER HIS HEAD BITCH, IS THERE ANY QUESTION WHO THE KWABOTY IS",AZM,.jpg,1365,2048,166,250,1670815938276023,1670815938,xbbIMwLGk+ii7ma9oabFcw==,270587,0,0,0,reminderno-refund-tiny-pakiman,11,1,6.0,1.0,"[{'no': 8225005, 'now': '12/12/22(Mon)00:01:39', 'name': 'Anonymous', 'com': '<a href=""#p8224941"" class=""quotelink"">&gt;&gt;8224941</a><br><a href=""#p8224943"" class=""quotelink"">&gt;&gt;8224943</a><br><a href=""#p8224375"" class=""quotelink"">&gt;&gt;8224375</a><br>E-drones AEW genuinely deranged and absolutely fucking retarded and belong in asylums.', 'time': 1670821299, 'resto': 8224375}, {'no': 8226039, 'now': '12/12/22(Mon)05:33:58', 'name': 'Anonymous', 'com': '<a href=""#p8224375"" class=""quotelink"">&gt;&gt;8224375</a><br>Tony took the ROH belts off of FTR most likely so he can put the AEW belts on them at long last as a bid to keep them from bailing on him. <br><br>Jericho meanwhile, is alleged to be pushing hard to force MJF to turn face so that he can beat him for the world title and finalize castrating him.', 'time': 1670841238, 'resto': 8224375}, {'no': 8226066, 'now': '12/12/22(Mon)05:40:10', 'name': 'Anonymous', 'com': '<a href=""#p8224375"" class=""quotelink"">&gt;&gt;8224375</a><br>deformed spine', 'time': 1670841610, 'resto': 8224375}, {'no': 8226074, 'now': '12/12/22(Mon)05:44:37', 'name': 'Anonymous', 'com': '<a href=""#p8224375"" class=""quotelink"">&gt;&gt;8224375</a><br>another rent free head dedicated to based TK our boy can&#039;t stop winning lol', 'time': 1670841877, 'resto': 8224375}, {'no': 8226208, 'now': '12/12/22(Mon)06:25:36', 'name': 'Anonymous', 'com': '<a href=""#p8226039"" class=""quotelink"">&gt;&gt;8226039</a><br>Nice headcanon but you didn&#039;t do the full blog post about it', 'time': 1670844336, 'resto': 8224375}]",1670844336,REMINDER:NO REFUND TINY PAKIMAN,!YGHFxNUwWI
45,8223975,12/11/22(Sun)21:32:54,Anonymous,"<span class=""quote"">&gt;2001 Kane coming out to Slow Chemical</span><br>https://www.youtube.com/watch?v=a-U<wbr>TSFrC-ng",file,.png,1440,1080,250,187,1670812374632435,1670812374,ju1SwFaYiPsRL3erHhXN5g==,1028935,0,0,0,is-this-peak-kane,10,1,5.0,0.0,"[{'no': 8225823, 'now': '12/12/22(Mon)04:03:15', 'name': 'Anonymous', 'com': '<a href=""#p8223975"" class=""quotelink"">&gt;&gt;8223975</a><br>yes', 'time': 1670835795, 'resto': 8223975}, {'no': 8225831, 'now': '12/12/22(Mon)04:07:31', 'name': 'Anonymous', 'com': 'slow chemical was sweet', 'time': 1670836051, 'resto': 8223975}, {'no': 8225917, 'now': '12/12/22(Mon)04:38:05', 'name': 'Anonymous', 'com': 'Physique wise? Yes', 'time': 1670837885, 'resto': 8223975}, {'no': 8226062, 'now': '12/12/22(Mon)05:38:57', 'name': 'Anonymous', 'com': 'What the fuck is a slow chemical? Is that like on Bioshock when you freeze machines so you can hack them easier?', 'time': 1670841537, 'resto': 8223975}, {'no': 8226200, 'now': '12/12/22(Mon)06:22:02', 'name': 'Anonymous', 'com': '<a href=""#p8225917"" class=""quotelink"">&gt;&gt;8225917</a><br>2001-2002 Kane was a fucking tank. The way he carried Big Show at his fattest over the top rope was insane.', 'filename': 'kane', 'ext': '.gif', 'w': 498, 'h': 498, 'tn_w': 125, 'tn_h': 125, 'tim': 1670844122489256, 'time': 1670844122, 'md5': 'xQL9Acp3aTExjEwUH43rlw==', 'fsize': 3509542, 'resto': 8223975}]",1670844122,Is this peak Kane?,
46,8226199,12/12/22(Mon)06:22:01,Anonymous,Big Shows in my wifes vaginal wall!,alpha cuck,.jpg,400,300,250,187,1670844121266782,1670844121,GJuQdgud/X3Vbqie7kawzA==,11738,0,0,0,big-shows-in-my-wifes-vaginal-wall,0,0,,,,1670844121,,
47,8226163,12/12/22(Mon)06:09:44,Anonymous,So Warner Discovery doesn&#039;t give ROH a TV deal but they allow ROH PPV on Bleacher Report.,1670722644252375,.png,758,403,250,132,1670843384393568,1670843384,rmdd3nbk1qJ7wTwW+7Ms2A==,48677,0,0,0,so-warner-discovery-doesnt-give-roh-a-tv-deal-but,2,0,,,"[{'no': 8226167, 'now': '12/12/22(Mon)06:11:20', 'name': 'Anonymous', 'com': '<a href=""#p8226163"" class=""quotelink"">&gt;&gt;8226163</a><br>No one gonna pay for that. It&#039;ll be like when Big Billy tunes moved NWA behind a paywall, everyone quit watching', 'time': 1670843480, 'resto': 8226163}, {'no': 8226197, 'now': '12/12/22(Mon)06:21:26', 'name': 'Anonymous', 'com': '<a href=""#p8226163"" class=""quotelink"">&gt;&gt;8226163</a><br><span class=""quote"">&gt;expects an announcement for TV after WK</span><br><span class=""quote"">&gt;Won&#039;t allow it</span><br>???', 'time': 1670844086, 'resto': 8226163}]",1670844086,,
48,8221296,12/11/22(Sun)15:49:31,Anonymous,"<span class=""quote"">&gt;over with the marks </span><br><span class=""quote"">&gt;over with the smarks </span><br><span class=""quote"">&gt;always got huge pops everywhere he went </span><br><span class=""quote"">&gt;vince, bischoff, and heyman all in agreement what their promotions needed was Sid</span><br><span class=""quote"">&gt;loved softball more than wrestling</span><br><span class=""quote"">&gt;shoot retard </span><br>Based Master and Ruler of the world",8163528876_a8d6b3fa6e_b,.jpg,680,1024,166,250,1670791771217605,1670791771,kT+Df9UElbwd9EIIBO8dYg==,177487,0,0,0,over-with-the-marks,29,3,24.0,2.0,"[{'no': 8226090, 'now': '12/12/22(Mon)05:48:15', 'name': 'Anonymous', 'com': '<a href=""#p8221296"" class=""quotelink"">&gt;&gt;8221296</a><br>Best pyro ever spelling out his name above the ring, great look and one of the best promos ever on Hogan, &quot;In the jungle only the strong survive.&quot; Based retard.', 'time': 1670842095, 'resto': 8221296}, {'no': 8226100, 'now': '12/12/22(Mon)05:49:19', 'name': 'Anonymous', 'com': '<a href=""#p8221296"" class=""quotelink"">&gt;&gt;8221296</a><br>Sid is literally what you think of when you think of a pro wrestler, imagine how much further he could&#039;ve gotten if he actually cared about wrestling', 'time': 1670842159, 'resto': 8221296}, {'no': 8226137, 'now': '12/12/22(Mon)05:59:31', 'name': 'Anonymous', 'com': '<a href=""#p8223272"" class=""quotelink"">&gt;&gt;8223272</a><br>Why is there almost no noise from the crowd at fucking MSG? Even if it wasn’t a sellout, which I can’t imagine it was that era, there should still be at least 10-15k fans. Barely any pop at all. Meanwhile Triple Nose shook the Subway trains downstairs at Penn Station for his comeback at MSG.', 'time': 1670842771, 'resto': 8221296}, {'no': 8226150, 'now': '12/12/22(Mon)06:04:06', 'name': 'Anonymous', 'com': '<a href=""#p8221296"" class=""quotelink"">&gt;&gt;8221296</a><br>Sid had his foreskin chewed off by his pet squirrel in the locker room and then killed it in front of all the boys for costing him a bet. Missed a house show because he had to get early 90’s rabies shots. Shoot retard is accurate. Powerbombed 1000 men, Drew zero dimes.', 'filename': 'A9B3E61B-0050-47D6-AD0F-CD39584FC3E7', 'ext': '.jpg', 'w': 1055, 'h': 774, 'tn_w': 125, 'tn_h': 91, 'tim': 1670843046413980, 'time': 1670843046, 'md5': 'FG4ss7kVNBdLfhdVxxNK/Q==', 'fsize': 225393, 'resto': 8221296}, {'no': 8226195, 'now': '12/12/22(Mon)06:20:46', 'name': 'Anonymous', 'com': '<a href=""#p8226137"" class=""quotelink"">&gt;&gt;8226137</a><br>New York was ICE COLD back then anon', 'time': 1670844046, 'resto': 8221296}]",1670844046,,
49,8225258,12/12/22(Mon)00:46:23,Anonymous,Is he trying to kill off or save wrestling? I legit can&#039;t tell.,khan-e1617807358843,.png,400,300,250,187,1670823983847377,1670823983,qJlFSHu0jtCG09FQ7zvv1A==,146770,0,0,0,is-he-trying-to-kill-off-or-save-wrestling-i,10,0,5.0,0.0,"[{'no': 8225443, 'now': '12/12/22(Mon)01:36:11', 'name': 'Anonymous', 'com': 'This board never exists without based Tony.', 'time': 1670826971, 'resto': 8225258}, {'no': 8226144, 'now': '12/12/22(Mon)06:02:38', 'name': 'Anonymous', 'com': '<a href=""#p8225258"" class=""quotelink"">&gt;&gt;8225258</a><br>He wants to keep every wrestler employed no matter if they can draw or contribute in anyway and by that, yes he is killing wrestling.', 'time': 1670842958, 'resto': 8225258}, {'no': 8226174, 'now': '12/12/22(Mon)06:13:18', 'name': 'Anonymous', 'com': '<a href=""#p8226144"" class=""quotelink"">&gt;&gt;8226144</a><br><span class=""quote"">&gt;He wants to keep every wrestler employed</span><br><br>kek imagine posting this nearly a year to the day after he shitcanned Swoletty. Update your memes.', 'time': 1670843598, 'resto': 8225258}, {'no': 8226183, 'now': '12/12/22(Mon)06:16:51', 'name': 'Anonymous', 'com': '<a href=""#p8225283"" class=""quotelink"">&gt;&gt;8225283</a><br>This. He doesn&#039;t give a shit about &quot;the business&quot;. He&#039;s just a billionaire(&#039;s son) playing with his toys.', 'time': 1670843811, 'resto': 8225258}, {'no': 8226187, 'now': '12/12/22(Mon)06:17:54', 'name': 'Anonymous', 'com': '<a href=""#p8225258"" class=""quotelink"">&gt;&gt;8225258</a><br>You can&#039;t save something that died 20 years ago.', 'time': 1670843874, 'resto': 8225258}]",1670843874,,
