,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies
0,3279425,1.0,1.0,12/18/18(Tue)13:09:28,Anonymous,Welcome to /cm/,"/cm/ is for 2D male work-safe images. Images should depict animated males and be cute in nature.<br><br>1. Check the catalog before creating a thread to avoid duplicate threads.<br>2. Please post 5 to 6 images to get new threads started.<br>3. This board is for animated content only. Do not post images depicting &quot;real&quot; people.<br>4. Images of heterosexual couples belong on <a href=""//boards.4channel.org/c/"" class=""quotelink"">&gt;&gt;&gt;/c/</a><br>5. Pornographic homosexual or solo male content belongs on <a href=""//boards.4chan.org/y/"" class=""quotelink"">&gt;&gt;&gt;/y/</a><br><br>Global rules apply as well. Provide high quality content and report infringing posts.",nines,.png,1420,1229,249,216,1545156568109,1545156568,GEoXMvT1kbi+xdIARAGfnQ==,482458,0,mod,welcome-to-cm,0,0,1545156576,,,,,
1,3741635,,,08/25/22(Thu)00:52:33,Anonymous,Idolm@ster SideM,"SideM thread. Other Imas guys (Ps, idol family) are welcome as well.<br><br>Wiki for folks who might wanna check the boys out: https://sidem.miraheze.org/wiki/Mai<wbr>n_Page",@shiraki_shiki,.jpg,1700,1050,250,154,1661403153630616,1661403153,ivh/Gk13JdaGA6MT70hB2A==,364757,0,,idolmster-sidem,90,81,1670847025,0.0,0.0,85.0,77.0,"[{'no': 3770376, 'now': '12/10/22(Sat)21:59:48', 'name': 'Anonymous', 'filename': '@zo_tuite blushing boys', 'ext': '.jpg', 'w': 591, 'h': 591, 'tn_w': 125, 'tn_h': 125, 'tim': 1670727588790725, 'time': 1670727588, 'md5': 'jCYDP+z8iELFEjKQfnk9cg==', 'fsize': 69906, 'resto': 3741635}, {'no': 3770378, 'now': '12/10/22(Sat)22:01:59', 'name': 'Anonymous', 'filename': '66739951_p0', 'ext': '.jpg', 'w': 975, 'h': 1300, 'tn_w': 93, 'tn_h': 125, 'tim': 1670727719500703, 'time': 1670727719, 'md5': '2+dWkLhlMdHvZOtHEKIQCg==', 'fsize': 1900437, 'resto': 3741635}, {'no': 3770403, 'now': '12/10/22(Sat)22:41:16', 'name': 'Anonymous', 'com': '<a href=""#p3770375"" class=""quotelink"">&gt;&gt;3770375</a><br><span class=""quote"">&gt;Kaoru</span><br>Technically, we already knew what he looked like back in his early magazine in Mobage', 'time': 1670730076, 'resto': 3741635}, {'no': 3770432, 'now': '12/11/22(Sun)03:47:15', 'name': 'Anonymous', 'filename': 'FcqExgWaEAECYNu', 'ext': '.jpg', 'w': 1929, 'h': 1474, 'tn_w': 125, 'tn_h': 95, 'tim': 1670748435799813, 'time': 1670748435, 'md5': 'pjbe5OsZ15p+P3M5aDtnGg==', 'fsize': 294037, 'resto': 3741635}, {'no': 3770793, 'now': '12/12/22(Mon)07:10:25', 'name': 'Anonymous', 'filename': 'FjxqnQ-akAESo0b', 'ext': '.jpg', 'w': 963, 'h': 986, 'tn_w': 122, 'tn_h': 125, 'tim': 1670847025008326, 'time': 1670847025, 'md5': 'aRuEf3PRM4BTwU/ou41ovA==', 'fsize': 78371, 'resto': 3741635}]"
2,3625098,,,08/20/21(Fri)08:14:06,Anonymous,Berserk,,Griffith.(BERSERK).full.1707609,.jpg,707,1000,176,250,1629461646022,1629461646,Wn1o+WGxMmdwLfh4BYSv8w==,622379,0,,berserk,222,144,1670845192,0.0,0.0,217.0,144.0,"[{'no': 3767340, 'now': '11/28/22(Mon)20:24:17', 'name': 'Anonymous', 'com': '<a href=""#p3763036"" class=""quotelink"">&gt;&gt;3763036</a><br>His Femto form canonically has painted lipp', 'time': 1669685057, 'resto': 3625098}, {'no': 3770323, 'now': '12/10/22(Sat)18:51:53', 'name': 'Anonymous', 'com': 'What is the mentally sane limit to want to molest Guts?<br>Because boy, I want to grope and lick him all over', 'time': 1670716313, 'resto': 3625098}, {'no': 3770324, 'now': '12/10/22(Sat)18:53:25', 'name': 'Anonymous', 'com': '<a href=""#p3739085"" class=""quotelink"">&gt;&gt;3739085</a><br>Impressive, very nice, lets see jaw tho', 'time': 1670716405, 'resto': 3625098}, {'no': 3770753, 'now': '12/11/22(Sun)23:40:35', 'name': 'Anonymous', 'com': '<a href=""#p3625098"" class=""quotelink"">&gt;&gt;3625098</a><br>i aint even gay, but i would marry griffith', 'time': 1670820035, 'resto': 3625098}, {'no': 3770792, 'now': '12/12/22(Mon)06:39:52', 'name': 'Anonymous', 'com': '<a href=""#p3770753"" class=""quotelink"">&gt;&gt;3770753</a><br>This, but Guts', 'time': 1670845192, 'resto': 3625098}]"
3,3664593,,,12/12/21(Sun)18:01:19,Anonymous,Yugioh Part 14,"Last thread<br><span class=""deadlink"">&gt;&gt;3593973</span><br>reached image limit",pixiv_706836 ポコニー,.jpg,410,360,250,219,1639350079785,1639350079,vs+mAeDA7AP3qEDTaZk0fw==,69115,0,,yugioh-part-14,140,129,1670845106,0.0,0.0,135.0,124.0,"[{'no': 3770785, 'now': '12/12/22(Mon)05:24:44', 'name': 'Anonymous', 'com': '<a href=""#p3770310"" class=""quotelink"">&gt;&gt;3770310</a><br>The things i&#039;d do to Albaz.', 'filename': 'FVmIRKUaAAAjCOT', 'ext': '.jpg', 'w': 800, 'h': 1135, 'tn_w': 88, 'tn_h': 125, 'tim': 1670840684055665, 'time': 1670840684, 'md5': 'nh6Wfi2VTcWvc4Y9wwOo9g==', 'fsize': 437067, 'resto': 3664593}, {'no': 3770787, 'now': '12/12/22(Mon)05:29:36', 'name': 'Anonymous', 'com': 'Even yugioh has its own femboy knight.', 'filename': 'InfernobleKnightAstolfo-ROTD-EN-C-1E', 'ext': '.png', 'w': 687, 'h': 1000, 'tn_w': 85, 'tn_h': 125, 'tim': 1670840976411302, 'time': 1670840976, 'md5': 'GQ56VV7608+7MHdYRQVWhg==', 'fsize': 1518356, 'resto': 3664593}, {'no': 3770788, 'now': '12/12/22(Mon)05:34:11', 'name': 'Anonymous', 'com': 'I&#039;m surprised /cm/&#039;s yugioh threads are mostly anime characters, i don&#039;t mind it but you guys should lurk the card game originals. You can find some really cute boys.', 'filename': '25287281_p0', 'ext': '.jpg', 'w': 575, 'h': 800, 'tn_w': 89, 'tn_h': 125, 'tim': 1670841251429058, 'time': 1670841251, 'md5': 'jADsIRg6NteBOyyWg99vmA==', 'fsize': 124872, 'resto': 3664593}, {'no': 3770789, 'now': '12/12/22(Mon)05:36:14', 'name': 'Anonymous', 'com': 'Zoodiac Ramram, my beloved.', 'filename': '59764017_p1', 'ext': '.jpg', 'w': 1798, 'h': 1743, 'tn_w': 124, 'tn_h': 121, 'tim': 1670841374959696, 'time': 1670841374, 'md5': '6UakTeUibEaiEldS/Mn8/Q==', 'fsize': 1278203, 'resto': 3664593}, {'no': 3770791, 'now': '12/12/22(Mon)06:38:26', 'name': 'Anonymous', 'com': 'For me, it&#039;s Shuraig', 'filename': '1647366023523', 'ext': '.jpg', 'w': 700, 'h': 990, 'tn_w': 88, 'tn_h': 125, 'tim': 1670845106498932, 'time': 1670845106, 'md5': 'M8z7adga17N0OEmtxMcpEw==', 'fsize': 720053, 'resto': 3664593}]"
4,3767383,,,11/29/22(Tue)02:41:15,Anonymous,Literally me,ITT: We post boys who are literally us.<br>I&#039;ll start with 5 who are me.,Fh3rnIuXkAon_iR,.jpg,638,643,248,250,1669707675302679,1669707675,X3fV644fgLay5UrmknD9HA==,60971,0,,literally-me,21,18,1670842006,0.0,0.0,16.0,15.0,"[{'no': 3770355, 'now': '12/10/22(Sat)20:50:56', 'name': 'Anonymous', 'com': 'He roams the streets to look for and pet cats, just like me', 'filename': 'Matsuno Ichimatsu 1453659663323', 'ext': '.jpg', 'w': 806, 'h': 1024, 'tn_w': 98, 'tn_h': 125, 'tim': 1670723456434498, 'time': 1670723456, 'md5': 'sQwnJLILuu97pg6WtlUcdg==', 'fsize': 348518, 'resto': 3767383}, {'no': 3770393, 'now': '12/10/22(Sat)22:31:47', 'name': 'Anonymous', 'com': '<a href=""#p3767383"" class=""quotelink"">&gt;&gt;3767383</a><br>my friend compared him to me', 'filename': 'zp7l3vl4zz181', 'ext': '.jpg', 'w': 472, 'h': 676, 'tn_w': 87, 'tn_h': 125, 'tim': 1670729507315459, 'time': 1670729507, 'md5': '2alM1oXZCWuq6gi3/2LOUA==', 'fsize': 36075, 'resto': 3767383}, {'no': 3770473, 'now': '12/11/22(Sun)05:51:18', 'name': 'Anonymous', 'com': '<a href=""#p3767383"" class=""quotelink"">&gt;&gt;3767383</a><br>Ok but are you single.', 'time': 1670755878, 'resto': 3767383}, {'no': 3770637, 'now': '12/11/22(Sun)16:50:07', 'name': 'Anonymous', 'com': '<a href=""#p3770473"" class=""quotelink"">&gt;&gt;3770473</a>', 'filename': 'blobby oh no', 'ext': '.jpg', 'w': 220, 'h': 271, 'tn_w': 101, 'tn_h': 125, 'tim': 1670795407735021, 'time': 1670795407, 'md5': 'rzCrNgYc3muOgdHQCmhLKg==', 'fsize': 8777, 'resto': 3767383}, {'no': 3770790, 'now': '12/12/22(Mon)05:46:46', 'name': 'Anonymous', 'com': '<a href=""#p3770637"" class=""quotelink"">&gt;&gt;3770637</a><br>Is that a no?', 'time': 1670842006, 'resto': 3767383}]"
5,3766541,,,11/25/22(Fri)18:14:08,Myancko,,Just wanna share a good hentai with everyone here because to day was a good day :)<br><br>-https://nhentai.net/g/429181/,.3,.jpg,1280,1790,178,249,1669418048518790,1669418048,EzDysyFp9AQ7dgo1a2MFJw==,648679,0,,just-wanna-share-a-good-hentai-with-everyone-here,20,2,1670840917,0.0,0.0,15.0,2.0,"[{'no': 3767947, 'now': '12/02/22(Fri)14:21:40', 'name': 'Anonymous', 'com': '<a href=""#p3767579"" class=""quotelink"">&gt;&gt;3767579</a><br>Are you mistaken for ikemeru19? He doesn&#039;t even draw shotas. Alot of his trap characters are drawn with noticeable breasts if that&#039;s what you meant. This artist&#039;s boys have no weird conetits on them', 'time': 1670008900, 'resto': 3766541}, {'no': 3767948, 'now': '12/02/22(Fri)14:22:42', 'name': 'Anonymous', 'com': '<a href=""#p3766541"" class=""quotelink"">&gt;&gt;3766541</a><br>If you&#039;re gonna rec shota manga go to the manga thread, if you wanna post girly/trap shotas, go to the crossdressing thread', 'time': 1670008962, 'resto': 3766541}, {'no': 3768258, 'now': '12/04/22(Sun)07:47:11', 'name': 'Anonymous', 'com': '<a href=""#p3767621"" class=""quotelink"">&gt;&gt;3767621</a><br>Cringe', 'time': 1670158031, 'resto': 3766541}, {'no': 3768577, 'now': '12/05/22(Mon)13:04:57', 'name': 'Anonymous', 'com': '<a href=""#p3766541"" class=""quotelink"">&gt;&gt;3766541</a><br>I appreciate this anon I fapped for like two hours to this yesterday', 'time': 1670263497, 'resto': 3766541}, {'no': 3770786, 'now': '12/12/22(Mon)05:28:37', 'name': 'Anonymous', 'com': '<a href=""#p3766711"" class=""quotelink"">&gt;&gt;3766711</a><br>What about Hitomi.la?', 'time': 1670840917, 'resto': 3766541}]"
6,3720871,,,06/04/22(Sat)16:26:12,Anonymous,The Owl House - Collector edition,Previous Owl House thread reached its post limit,FT0dcQpWQAAuprJ,.png,679,680,249,250,1654374372068,1654374372,LbLf26lIW6EN9fDXZdZE+w==,318017,0,,the-owl-house-collector-edition,195,142,1670837844,0.0,0.0,190.0,141.0,"[{'no': 3769280, 'now': '12/07/22(Wed)23:40:04', 'name': 'Anonymous', 'com': '<a href=""#p3768746"" class=""quotelink"">&gt;&gt;3768746</a><br>Probably, this particla artist almost got doxxed and since he&#039;s Chinese he&#039;s wary of whom can rat him out to Winnie the Pooh<br><a href=""#p3768747"" class=""quotelink"">&gt;&gt;3768747</a><br>You should be, he almost killed Hunter by succing him dry', 'time': 1670474404, 'resto': 3720871}, {'no': 3769788, 'now': '12/09/22(Fri)16:08:02', 'name': 'Anonymous', 'com': '<a href=""#p3769280"" class=""quotelink"">&gt;&gt;3769280</a><br>Right, CCP&#039;s having a masculinity-insecurity meltdown. I guess all the WMAM porn finally got on their nerves', 'time': 1670620082, 'resto': 3720871}, {'no': 3770350, 'now': '12/10/22(Sat)20:35:20', 'name': 'Anonymous', 'filename': 'mr bingle hunter x collector', 'ext': '.jpg', 'w': 1033, 'h': 1076, 'tn_w': 120, 'tn_h': 125, 'tim': 1670722520799250, 'time': 1670722520, 'md5': 'x0iXsLoYNS5SBz/EHuzUWQ==', 'fsize': 135622, 'resto': 3720871}, {'no': 3770374, 'now': '12/10/22(Sat)21:55:59', 'name': 'Anonymous', 'com': '<a href=""#p3770350"" class=""quotelink"">&gt;&gt;3770350</a><br>kek', 'time': 1670727359, 'resto': 3720871}, {'no': 3770784, 'now': '12/12/22(Mon)04:37:24', 'name': 'Anonymous', 'com': '<a href=""#p3720871"" class=""quotelink"">&gt;&gt;3720871</a><br>I&#039;m not a doctor but:<br><span class=""quote"">&gt;White hair and red (translucent) irises</span><br><span class=""quote"">&gt;Yellow skin and yellow sclera</span><br>My diagnosis is albinism and icterus (plus birthmark on the face).', 'time': 1670837844, 'resto': 3720871}]"
7,3702890,,,04/13/22(Wed)05:51:01,Anonymous,/sword/ Touken Ranbu,old man nipples edition,jeej nips,.png,902,1047,215,250,1649843461411,1649843461,5Xv8IDT5GtNu0fioAE12KQ==,1878176,0,,sword-touken-ranbu,193,123,1670837003,0.0,0.0,188.0,119.0,"[{'no': 3766301, 'now': '11/24/22(Thu)15:44:28', 'name': 'Anonymous', 'com': 'New live action movie trailer out. How we feeling? Ichigo&#039;s wig looks Kurikara game art levels of cranium.', 'time': 1669322668, 'resto': 3702890}, {'no': 3767707, 'now': '11/30/22(Wed)21:00:42', 'name': 'Anonymous', 'com': 'When will twitter user @ogimachiSNJ come back from the war?', 'filename': '9327b2fa56e19caaca1f56d9b23bf7b3', 'ext': '.png', 'w': 600, 'h': 652, 'tn_w': 115, 'tn_h': 125, 'tim': 1669860042953275, 'time': 1669860042, 'md5': 'kyey+lbhnKrKH1bZsjv3sw==', 'fsize': 750680, 'resto': 3702890}, {'no': 3768918, 'now': '12/06/22(Tue)21:36:12', 'name': 'Anonymous', 'com': 'what do you guys think is coming in the big december update? only a few days left.', 'filename': '966002789544415232-DWfbP9uVQAAhY15', 'ext': '.jpg', 'w': 1200, 'h': 1000, 'tn_w': 125, 'tn_h': 104, 'tim': 1670380572004982, 'time': 1670380572, 'md5': 'b2g72GT1HmszPYRniw6LbQ==', 'fsize': 189097, 'resto': 3702890}, {'no': 3768970, 'now': '12/07/22(Wed)05:08:32', 'name': 'Anonymous', 'com': '<a href=""#p3768918"" class=""quotelink"">&gt;&gt;3768918</a><br>I&#039;m not sure, but hopefully one of my boys gets a kiwame.', 'filename': '(1251)', 'ext': '.jpg', 'w': 1439, 'h': 2035, 'tn_w': 88, 'tn_h': 125, 'tim': 1670407712000824, 'time': 1670407712, 'md5': 'WMYr1JXhQXagQX9LSltMHg==', 'fsize': 375560, 'resto': 3702890}, {'no': 3770783, 'now': '12/12/22(Mon)04:23:23', 'name': 'Anonymous', 'com': 'New Spear, Ningen Mukotsu', 'filename': 'media_Fjw4wWXaUAEBfif', 'ext': '.jpg', 'w': 800, 'h': 1073, 'tn_w': 93, 'tn_h': 125, 'tim': 1670837003433002, 'time': 1670837003, 'md5': 'IbXM0diEdAuKMvQfHD/CXg==', 'fsize': 268147, 'resto': 3702890}]"
8,3768875,,,12/06/22(Tue)16:36:50,Anonymous,Genshin Impact,"Doggy Impact Edition <br>Previous <a href=""/cm/thread/3766772#p3766772"" class=""quotelink"">&gt;&gt;3766772</a>",61694D12-E3CE-49DF-BBD0-307AF6DE4DC0,.jpg,1419,1215,249,214,1670362610044786,1670362610,A9y7kfvxRghMU7F+Zb7ROQ==,251927,0,,genshin-impact,174,114,1670835997,0.0,0.0,169.0,112.0,"[{'no': 3770754, 'now': '12/11/22(Sun)23:52:58', 'name': 'Anonymous', 'com': '<a href=""#p3770276"" class=""quotelink"">&gt;&gt;3770276</a><br>Scara feet ahhhhh', 'filename': '1658782104081356', 'ext': '.jpg', 'w': 4093, 'h': 2894, 'tn_w': 125, 'tn_h': 88, 'tim': 1670820778153794, 'time': 1670820778, 'md5': 'BN0rIodMjiGvjUV/Wccadg==', 'fsize': 1442695, 'resto': 3768875}, {'no': 3770767, 'now': '12/12/22(Mon)00:55:51', 'name': 'Anonymous', 'com': '<a href=""#p3770754"" class=""quotelink"">&gt;&gt;3770754</a><br>People send Cheems owners money for photos of his feet', 'filename': '7507074E-E7CB-461C-A751-47A1323076F0', 'ext': '.jpg', 'w': 1102, 'h': 1378, 'tn_w': 99, 'tn_h': 125, 'tim': 1670824551070385, 'time': 1670824551, 'md5': 'oQN6KnTeLkiRM/IQSlI5zQ==', 'fsize': 96013, 'resto': 3768875}, {'no': 3770772, 'now': '12/12/22(Mon)01:37:50', 'name': 'Anonymous', 'com': 'i wanna hurt gorou', 'time': 1670827070, 'resto': 3768875}, {'no': 3770774, 'now': '12/12/22(Mon)02:31:01', 'name': 'Anonymous', 'com': '<a href=""#p3770772"" class=""quotelink"">&gt;&gt;3770772</a><br><span class=""quote"">&gt;tfw no doujin where horny Snezhnaya soldiers take the dog Prisoner</span>', 'time': 1670830261, 'resto': 3768875}, {'no': 3770782, 'now': '12/12/22(Mon)04:06:37', 'name': 'Anonymous', 'com': '<a href=""#p3770066"" class=""quotelink"">&gt;&gt;3770066</a><br>This images sweet and all but I can&#039;t help but be reminded of the bimbo picks up a book meme', 'time': 1670835997, 'resto': 3768875}]"
9,3765429,,,11/20/22(Sun)00:56:14,Anonymous,Jojo Steel Ball Run #12,"America&#039;s ass edition<br>Previous thread: <a href=""/cm/thread/3736239#p3736239"" class=""quotelink"">&gt;&gt;3736239</a>",20221029_142300,.jpg,1200,1600,187,250,1668923774939198,1668923774,+ujSzAz8qluMw3QionLGrw==,265992,0,,jojo-steel-ball-run-12,46,45,1670834712,0.0,0.0,41.0,41.0,"[{'no': 3767896, 'now': '12/02/22(Fri)06:14:58', 'name': 'Anonymous', 'filename': '20221112_173446', 'ext': '.jpg', 'w': 1500, 'h': 1200, 'tn_w': 125, 'tn_h': 100, 'tim': 1669979698251260, 'time': 1669979698, 'md5': 'ZEMUJCYLRjKeOAKFewqGBA==', 'fsize': 415431, 'resto': 3765429}, {'no': 3768481, 'now': '12/05/22(Mon)04:24:50', 'name': 'Anonymous', 'filename': '1550175414242', 'ext': '.png', 'w': 765, 'h': 1200, 'tn_w': 79, 'tn_h': 125, 'tim': 1670232290717233, 'time': 1670232290, 'md5': '+Xq0R1QPe1xCVUTkcshm3A==', 'fsize': 1621399, 'resto': 3765429}, {'no': 3769339, 'now': '12/08/22(Thu)04:25:42', 'name': 'Anonymous', 'filename': '20221208_011639', 'ext': '.jpg', 'w': 1280, 'h': 1400, 'tn_w': 114, 'tn_h': 125, 'tim': 1670491542368308, 'time': 1670491542, 'md5': 't2mdWoNbt/6Dp9P0YbsrXA==', 'fsize': 267457, 'resto': 3765429}, {'no': 3770359, 'now': '12/10/22(Sat)21:07:32', 'name': 'Anonymous', 'com': 'Hello, so I am making an essay about Johnny and it is going well. I thought about posting the whole thing in /trash/. But I wonder if I should link the thread here after I am done or just link the pastebin?', 'filename': 'Fjnmz3iUUAA5V48.jpeg', 'ext': '.jpg', 'w': 1187, 'h': 1780, 'tn_w': 83, 'tn_h': 125, 'tim': 1670724452911596, 'time': 1670724452, 'md5': 'Dejy0Q6DK0nLZRmcv3+MBQ==', 'fsize': 367054, 'resto': 3765429}, {'no': 3770781, 'now': '12/12/22(Mon)03:45:12', 'name': 'Anonymous', 'com': '<a href=""#p3770359"" class=""quotelink"">&gt;&gt;3770359</a><br>Link to the thread would be cool', 'time': 1670834712, 'resto': 3765429}]"
